Number_of_card;Card_name;Is_in_sideboard
1;Suspicious Stowaway;0
1;Baral, Chief of Compliance;0
1;Archangel Avacyn;0
1;Riftwing Cloudskate;0
1;Ethereal Forager;0
1;Consecrated Sphinx;0
1;Torrential Gearhulk;0
1;Karakas;0
1;Shelldock Isle;0
1;Celestial Colonnade;0
1;Misty Rainforest;0
1;Evolving Wilds;0
4;Plains;0
7;Island;0
1;Swords to Plowshares;0
1;Consider;0
1;Opt;0
1;Sensei's Divining Top;0
1;Memory Lapse;0
1;Daze;0
1;Miscalculation;0
1;Azorius Signet;0
1;Mind Stone;0
1;Narset, Parter of Veils;0
1;Teferi, Time Raveler;0
1;Wrath of God;0
1;Cryptic Command;0
1;Mystic Confluence;0
1;Time Warp;0
1;Emeria's Call;0
1;Commit // Memory;0
1;Dark Depths;1
1;Darksteel Citadel;1
1;Spirebluff Canal;1
1;Seat of the Synod;1
1;Boros Signet;1
1;Fateful Absence;1
1;Metalworker;1
1;Soulherder;1
1;Trinket Mage;1
1;Show and Tell;1
1;Glasspool Mimic;1
1;Hellrider;1
1;Opposition;1
1;Deep Forest Hermit;1
1;Zealous Conscripts;1
1;Time Spiral;1
1;Upheaval;1
1;Griselbrand;1
