Color;Average_points;Winrate
W;5.10000;0.56667
U;4.50000;0.50000
B;0.00000;0.00000
R;6.37500;0.70833
G;4.50000;0.50000
WU;4.28571;0.47619
WB;4.25000;0.47222
WR;4.80000;0.53333
WG;1.50000;0.16667
UB;4.33333;0.48148
UR;4.92857;0.54762
UG;5.25000;0.58333
BR;5.43750;0.60417
BG;3.00000;0.33333
RG;2.70000;0.30000
WUB;6.00000;0.66667
WUR;4.71429;0.52381
WUG;4.50000;0.50000
WBR;4.25000;0.47222
WBG;3.00000;0.33333
WRG;6.00000;0.66667
UBR;3.37500;0.37500
UBG;6.16667;0.68519
URG;6.60000;0.73333
BRG;3.37500;0.37500
4 color;4.00000;0.44444
5 color;4.50000;0.50000
All whites;4.59184;0.51020
All blues;5.04310;0.56034
All blacks;4.57627;0.50847
All reds;4.76316;0.52924
All greens;4.53750;0.50417
